ip_dst,time(t-10),traffic(t-10),data_len(t-10),time(t-9),traffic(t-9),data_len(t-9),time(t-8),traffic(t-8),data_len(t-8),time(t-7),traffic(t-7),data_len(t-7),time(t-6),traffic(t-6),data_len(t-6),time(t-5),traffic(t-5),data_len(t-5),time(t-4),traffic(t-4),data_len(t-4),time(t-3),traffic(t-3),data_len(t-3),time(t-2),traffic(t-2),data_len(t-2),time(t-1),traffic(t-1),data_len(t-1),time(t),traffic(t),data_len(t)
192.168.1.149,2019/03/01 20:10:59,2631.0,3808470.0,2019/03/01 20:11:00,4218.0,6107664.0,2019/03/01 20:11:01,3222.0,4665456.0,2019/03/01 20:11:02,2561.0,3708328.0,2019/03/01 20:11:03,2740.0,3967520.0,2019/03/01 20:11:04,2742.0,3970416.0,2019/03/01 20:11:05,2804.0,4060192.0,2019/03/01 20:11:06,2807.0,4064536.0,2019/03/01 20:11:07,2849.0,4125352.0,2019/03/01 20:11:08,2696.0,3903808.0,2019/03/01 20:11:09,2456,3556288
192.168.1.149,2019/03/01 20:11:00,4218.0,6107664.0,2019/03/01 20:11:01,3222.0,4665456.0,2019/03/01 20:11:02,2561.0,3708328.0,2019/03/01 20:11:03,2740.0,3967520.0,2019/03/01 20:11:04,2742.0,3970416.0,2019/03/01 20:11:05,2804.0,4060192.0,2019/03/01 20:11:06,2807.0,4064536.0,2019/03/01 20:11:07,2849.0,4125352.0,2019/03/01 20:11:08,2696.0,3903808.0,2019/03/01 20:11:09,2456.0,3556288.0,2019/03/01 20:11:10,2790,4039920
192.168.1.149,2019/03/01 20:11:01,3222.0,4665456.0,2019/03/01 20:11:02,2561.0,3708328.0,2019/03/01 20:11:03,2740.0,3967520.0,2019/03/01 20:11:04,2742.0,3970416.0,2019/03/01 20:11:05,2804.0,4060192.0,2019/03/01 20:11:06,2807.0,4064536.0,2019/03/01 20:11:07,2849.0,4125352.0,2019/03/01 20:11:08,2696.0,3903808.0,2019/03/01 20:11:09,2456.0,3556288.0,2019/03/01 20:11:10,2790.0,4039920.0,2019/03/01 20:11:11,2919,4226712
192.168.1.149,2019/03/01 20:11:02,2561.0,3708328.0,2019/03/01 20:11:03,2740.0,3967520.0,2019/03/01 20:11:04,2742.0,3970416.0,2019/03/01 20:11:05,2804.0,4060192.0,2019/03/01 20:11:06,2807.0,4064536.0,2019/03/01 20:11:07,2849.0,4125352.0,2019/03/01 20:11:08,2696.0,3903808.0,2019/03/01 20:11:09,2456.0,3556288.0,2019/03/01 20:11:10,2790.0,4039920.0,2019/03/01 20:11:11,2919.0,4226712.0,2019/03/01 20:11:12,2534,3669232
192.168.1.149,2019/03/01 20:11:03,2740.0,3967520.0,2019/03/01 20:11:04,2742.0,3970416.0,2019/03/01 20:11:05,2804.0,4060192.0,2019/03/01 20:11:06,2807.0,4064536.0,2019/03/01 20:11:07,2849.0,4125352.0,2019/03/01 20:11:08,2696.0,3903808.0,2019/03/01 20:11:09,2456.0,3556288.0,2019/03/01 20:11:10,2790.0,4039920.0,2019/03/01 20:11:11,2919.0,4226712.0,2019/03/01 20:11:12,2534.0,3669232.0,2019/03/01 20:11:13,2529,3661992
192.168.1.149,2019/03/01 20:11:04,2742.0,3970416.0,2019/03/01 20:11:05,2804.0,4060192.0,2019/03/01 20:11:06,2807.0,4064536.0,2019/03/01 20:11:07,2849.0,4125352.0,2019/03/01 20:11:08,2696.0,3903808.0,2019/03/01 20:11:09,2456.0,3556288.0,2019/03/01 20:11:10,2790.0,4039920.0,2019/03/01 20:11:11,2919.0,4226712.0,2019/03/01 20:11:12,2534.0,3669232.0,2019/03/01 20:11:13,2529.0,3661992.0,2019/03/01 20:11:14,2790,4039920
192.168.1.149,2019/03/01 20:11:05,2804.0,4060192.0,2019/03/01 20:11:06,2807.0,4064536.0,2019/03/01 20:11:07,2849.0,4125352.0,2019/03/01 20:11:08,2696.0,3903808.0,2019/03/01 20:11:09,2456.0,3556288.0,2019/03/01 20:11:10,2790.0,4039920.0,2019/03/01 20:11:11,2919.0,4226712.0,2019/03/01 20:11:12,2534.0,3669232.0,2019/03/01 20:11:13,2529.0,3661992.0,2019/03/01 20:11:14,2790.0,4039920.0,2019/03/01 20:11:15,2933,4246984
192.168.1.149,2019/03/01 20:11:06,2807.0,4064536.0,2019/03/01 20:11:07,2849.0,4125352.0,2019/03/01 20:11:08,2696.0,3903808.0,2019/03/01 20:11:09,2456.0,3556288.0,2019/03/01 20:11:10,2790.0,4039920.0,2019/03/01 20:11:11,2919.0,4226712.0,2019/03/01 20:11:12,2534.0,3669232.0,2019/03/01 20:11:13,2529.0,3661992.0,2019/03/01 20:11:14,2790.0,4039920.0,2019/03/01 20:11:15,2933.0,4246984.0,2019/03/01 20:11:16,2975,4307800
192.168.1.149,2019/03/01 20:11:07,2849.0,4125352.0,2019/03/01 20:11:08,2696.0,3903808.0,2019/03/01 20:11:09,2456.0,3556288.0,2019/03/01 20:11:10,2790.0,4039920.0,2019/03/01 20:11:11,2919.0,4226712.0,2019/03/01 20:11:12,2534.0,3669232.0,2019/03/01 20:11:13,2529.0,3661992.0,2019/03/01 20:11:14,2790.0,4039920.0,2019/03/01 20:11:15,2933.0,4246984.0,2019/03/01 20:11:16,2975.0,4307800.0,2019/03/01 20:11:17,2974,4306352
192.168.1.149,2019/03/01 20:11:08,2696.0,3903808.0,2019/03/01 20:11:09,2456.0,3556288.0,2019/03/01 20:11:10,2790.0,4039920.0,2019/03/01 20:11:11,2919.0,4226712.0,2019/03/01 20:11:12,2534.0,3669232.0,2019/03/01 20:11:13,2529.0,3661992.0,2019/03/01 20:11:14,2790.0,4039920.0,2019/03/01 20:11:15,2933.0,4246984.0,2019/03/01 20:11:16,2975.0,4307800.0,2019/03/01 20:11:17,2974.0,4306352.0,2019/03/01 20:11:18,3036,4396128
192.168.1.149,2019/03/01 20:11:09,2456.0,3556288.0,2019/03/01 20:11:10,2790.0,4039920.0,2019/03/01 20:11:11,2919.0,4226712.0,2019/03/01 20:11:12,2534.0,3669232.0,2019/03/01 20:11:13,2529.0,3661992.0,2019/03/01 20:11:14,2790.0,4039920.0,2019/03/01 20:11:15,2933.0,4246984.0,2019/03/01 20:11:16,2975.0,4307800.0,2019/03/01 20:11:17,2974.0,4306352.0,2019/03/01 20:11:18,3036.0,4396128.0,2019/03/01 20:11:19,2646,3831408
