ip_dst,time(t-10),traffic(t-10),data_len(t-10),time(t-9),traffic(t-9),data_len(t-9),time(t-8),traffic(t-8),data_len(t-8),time(t-7),traffic(t-7),data_len(t-7),time(t-6),traffic(t-6),data_len(t-6),time(t-5),traffic(t-5),data_len(t-5),time(t-4),traffic(t-4),data_len(t-4),time(t-3),traffic(t-3),data_len(t-3),time(t-2),traffic(t-2),data_len(t-2),time(t-1),traffic(t-1),data_len(t-1),time(t),traffic(t),data_len(t)
145.146.221.104,2019/04/01 18:49:17,3.0,1757.0,2019/04/01 18:49:18,2.0,517.0,2019/04/01 18:49:22,5.0,1207.0,2019/04/01 18:49:23,6.0,1528.0,2019/04/01 18:49:24,6.0,1533.0,2019/04/01 18:49:25,4.0,695.0,2019/04/01 18:49:26,6.0,1241.0,2019/04/01 18:49:27,6.0,1334.0,2019/04/01 18:49:28,3.0,627.0,2019/04/01 18:49:42,12.0,7476.0,2019/04/01 18:49:43,6,1296
145.146.221.104,2019/04/01 18:49:18,2.0,517.0,2019/04/01 18:49:22,5.0,1207.0,2019/04/01 18:49:23,6.0,1528.0,2019/04/01 18:49:24,6.0,1533.0,2019/04/01 18:49:25,4.0,695.0,2019/04/01 18:49:26,6.0,1241.0,2019/04/01 18:49:27,6.0,1334.0,2019/04/01 18:49:28,3.0,627.0,2019/04/01 18:49:42,12.0,7476.0,2019/04/01 18:49:43,6.0,1296.0,2019/04/01 18:49:44,6,1232
145.146.221.104,2019/04/01 18:49:22,5.0,1207.0,2019/04/01 18:49:23,6.0,1528.0,2019/04/01 18:49:24,6.0,1533.0,2019/04/01 18:49:25,4.0,695.0,2019/04/01 18:49:26,6.0,1241.0,2019/04/01 18:49:27,6.0,1334.0,2019/04/01 18:49:28,3.0,627.0,2019/04/01 18:49:42,12.0,7476.0,2019/04/01 18:49:43,6.0,1296.0,2019/04/01 18:49:44,6.0,1232.0,2019/04/01 18:49:45,4,724
145.146.221.104,2019/04/01 18:49:23,6.0,1528.0,2019/04/01 18:49:24,6.0,1533.0,2019/04/01 18:49:25,4.0,695.0,2019/04/01 18:49:26,6.0,1241.0,2019/04/01 18:49:27,6.0,1334.0,2019/04/01 18:49:28,3.0,627.0,2019/04/01 18:49:42,12.0,7476.0,2019/04/01 18:49:43,6.0,1296.0,2019/04/01 18:49:44,6.0,1232.0,2019/04/01 18:49:45,4.0,724.0,2019/04/01 18:49:47,6,5576
145.146.221.104,2019/04/01 18:49:24,6.0,1533.0,2019/04/01 18:49:25,4.0,695.0,2019/04/01 18:49:26,6.0,1241.0,2019/04/01 18:49:27,6.0,1334.0,2019/04/01 18:49:28,3.0,627.0,2019/04/01 18:49:42,12.0,7476.0,2019/04/01 18:49:43,6.0,1296.0,2019/04/01 18:49:44,6.0,1232.0,2019/04/01 18:49:45,4.0,724.0,2019/04/01 18:49:47,6.0,5576.0,2019/04/01 18:49:50,17,20039
145.146.221.104,2019/04/01 18:49:25,4.0,695.0,2019/04/01 18:49:26,6.0,1241.0,2019/04/01 18:49:27,6.0,1334.0,2019/04/01 18:49:28,3.0,627.0,2019/04/01 18:49:42,12.0,7476.0,2019/04/01 18:49:43,6.0,1296.0,2019/04/01 18:49:44,6.0,1232.0,2019/04/01 18:49:45,4.0,724.0,2019/04/01 18:49:47,6.0,5576.0,2019/04/01 18:49:50,17.0,20039.0,2019/04/01 18:50:04,6,1902
145.146.221.104,2019/04/01 18:49:26,6.0,1241.0,2019/04/01 18:49:27,6.0,1334.0,2019/04/01 18:49:28,3.0,627.0,2019/04/01 18:49:42,12.0,7476.0,2019/04/01 18:49:43,6.0,1296.0,2019/04/01 18:49:44,6.0,1232.0,2019/04/01 18:49:45,4.0,724.0,2019/04/01 18:49:47,6.0,5576.0,2019/04/01 18:49:50,17.0,20039.0,2019/04/01 18:50:04,6.0,1902.0,2019/04/01 18:50:05,7,1292
145.146.221.104,2019/04/01 18:49:27,6.0,1334.0,2019/04/01 18:49:28,3.0,627.0,2019/04/01 18:49:42,12.0,7476.0,2019/04/01 18:49:43,6.0,1296.0,2019/04/01 18:49:44,6.0,1232.0,2019/04/01 18:49:45,4.0,724.0,2019/04/01 18:49:47,6.0,5576.0,2019/04/01 18:49:50,17.0,20039.0,2019/04/01 18:50:04,6.0,1902.0,2019/04/01 18:50:05,7.0,1292.0,2019/04/01 18:50:06,6,1325
145.146.221.104,2019/04/01 18:49:28,3.0,627.0,2019/04/01 18:49:42,12.0,7476.0,2019/04/01 18:49:43,6.0,1296.0,2019/04/01 18:49:44,6.0,1232.0,2019/04/01 18:49:45,4.0,724.0,2019/04/01 18:49:47,6.0,5576.0,2019/04/01 18:49:50,17.0,20039.0,2019/04/01 18:50:04,6.0,1902.0,2019/04/01 18:50:05,7.0,1292.0,2019/04/01 18:50:06,6.0,1325.0,2019/04/01 18:50:07,3,614
145.146.221.104,2019/04/01 18:49:42,12.0,7476.0,2019/04/01 18:49:43,6.0,1296.0,2019/04/01 18:49:44,6.0,1232.0,2019/04/01 18:49:45,4.0,724.0,2019/04/01 18:49:47,6.0,5576.0,2019/04/01 18:49:50,17.0,20039.0,2019/04/01 18:50:04,6.0,1902.0,2019/04/01 18:50:05,7.0,1292.0,2019/04/01 18:50:06,6.0,1325.0,2019/04/01 18:50:07,3.0,614.0,2019/04/01 18:50:08,6,6603
