ip_dst,time(t-10),traffic(t-10),data_len(t-10),time(t-9),traffic(t-9),data_len(t-9),time(t-8),traffic(t-8),data_len(t-8),time(t-7),traffic(t-7),data_len(t-7),time(t-6),traffic(t-6),data_len(t-6),time(t-5),traffic(t-5),data_len(t-5),time(t-4),traffic(t-4),data_len(t-4),time(t-3),traffic(t-3),data_len(t-3),time(t-2),traffic(t-2),data_len(t-2),time(t-1),traffic(t-1),data_len(t-1),time(t),traffic(t),data_len(t)
130.206.193.109,2019/03/01 17:39:10,9.0,5569.0,2019/03/01 17:39:11,3.0,3581.0,2019/03/01 17:39:12,1.0,1149.0,2019/03/01 17:39:14,9.0,9161.0,2019/03/01 17:39:15,4.0,5148.0,2019/03/01 17:39:16,1.0,1289.0,2019/03/01 17:39:25,3.0,3728.0,2019/03/01 17:39:26,4.0,5018.0,2019/03/01 17:39:27,5.0,6445.0,2019/03/01 17:39:28,4.0,5019.0,2019/03/01 17:39:29,4,5156
130.206.193.109,2019/03/01 17:39:11,3.0,3581.0,2019/03/01 17:39:12,1.0,1149.0,2019/03/01 17:39:14,9.0,9161.0,2019/03/01 17:39:15,4.0,5148.0,2019/03/01 17:39:16,1.0,1289.0,2019/03/01 17:39:25,3.0,3728.0,2019/03/01 17:39:26,4.0,5018.0,2019/03/01 17:39:27,5.0,6445.0,2019/03/01 17:39:28,4.0,5019.0,2019/03/01 17:39:29,4.0,5156.0,2019/03/01 17:39:32,1,1289
130.206.193.109,2019/03/01 17:39:12,1.0,1149.0,2019/03/01 17:39:14,9.0,9161.0,2019/03/01 17:39:15,4.0,5148.0,2019/03/01 17:39:16,1.0,1289.0,2019/03/01 17:39:25,3.0,3728.0,2019/03/01 17:39:26,4.0,5018.0,2019/03/01 17:39:27,5.0,6445.0,2019/03/01 17:39:28,4.0,5019.0,2019/03/01 17:39:29,4.0,5156.0,2019/03/01 17:39:32,1.0,1289.0,2019/03/01 17:39:35,2,2441
130.206.193.109,2019/03/01 17:39:14,9.0,9161.0,2019/03/01 17:39:15,4.0,5148.0,2019/03/01 17:39:16,1.0,1289.0,2019/03/01 17:39:25,3.0,3728.0,2019/03/01 17:39:26,4.0,5018.0,2019/03/01 17:39:27,5.0,6445.0,2019/03/01 17:39:28,4.0,5019.0,2019/03/01 17:39:29,4.0,5156.0,2019/03/01 17:39:32,1.0,1289.0,2019/03/01 17:39:35,2.0,2441.0,2019/03/01 17:39:40,1,1289
130.206.193.109,2019/03/01 17:39:15,4.0,5148.0,2019/03/01 17:39:16,1.0,1289.0,2019/03/01 17:39:25,3.0,3728.0,2019/03/01 17:39:26,4.0,5018.0,2019/03/01 17:39:27,5.0,6445.0,2019/03/01 17:39:28,4.0,5019.0,2019/03/01 17:39:29,4.0,5156.0,2019/03/01 17:39:32,1.0,1289.0,2019/03/01 17:39:35,2.0,2441.0,2019/03/01 17:39:40,1.0,1289.0,2019/03/01 17:39:43,1,1289
130.206.193.109,2019/03/01 17:39:16,1.0,1289.0,2019/03/01 17:39:25,3.0,3728.0,2019/03/01 17:39:26,4.0,5018.0,2019/03/01 17:39:27,5.0,6445.0,2019/03/01 17:39:28,4.0,5019.0,2019/03/01 17:39:29,4.0,5156.0,2019/03/01 17:39:32,1.0,1289.0,2019/03/01 17:39:35,2.0,2441.0,2019/03/01 17:39:40,1.0,1289.0,2019/03/01 17:39:43,1.0,1289.0,2019/03/01 17:39:45,1,1289
130.206.193.109,2019/03/01 17:39:25,3.0,3728.0,2019/03/01 17:39:26,4.0,5018.0,2019/03/01 17:39:27,5.0,6445.0,2019/03/01 17:39:28,4.0,5019.0,2019/03/01 17:39:29,4.0,5156.0,2019/03/01 17:39:32,1.0,1289.0,2019/03/01 17:39:35,2.0,2441.0,2019/03/01 17:39:40,1.0,1289.0,2019/03/01 17:39:43,1.0,1289.0,2019/03/01 17:39:45,1.0,1289.0,2019/03/01 17:39:49,1,1289
130.206.193.109,2019/03/01 17:39:26,4.0,5018.0,2019/03/01 17:39:27,5.0,6445.0,2019/03/01 17:39:28,4.0,5019.0,2019/03/01 17:39:29,4.0,5156.0,2019/03/01 17:39:32,1.0,1289.0,2019/03/01 17:39:35,2.0,2441.0,2019/03/01 17:39:40,1.0,1289.0,2019/03/01 17:39:43,1.0,1289.0,2019/03/01 17:39:45,1.0,1289.0,2019/03/01 17:39:49,1.0,1289.0,2019/03/01 17:39:53,1,1289
130.206.193.109,2019/03/01 17:39:27,5.0,6445.0,2019/03/01 17:39:28,4.0,5019.0,2019/03/01 17:39:29,4.0,5156.0,2019/03/01 17:39:32,1.0,1289.0,2019/03/01 17:39:35,2.0,2441.0,2019/03/01 17:39:40,1.0,1289.0,2019/03/01 17:39:43,1.0,1289.0,2019/03/01 17:39:45,1.0,1289.0,2019/03/01 17:39:49,1.0,1289.0,2019/03/01 17:39:53,1.0,1289.0,2019/03/01 17:39:56,1,1289
130.206.193.109,2019/03/01 17:39:28,4.0,5019.0,2019/03/01 17:39:29,4.0,5156.0,2019/03/01 17:39:32,1.0,1289.0,2019/03/01 17:39:35,2.0,2441.0,2019/03/01 17:39:40,1.0,1289.0,2019/03/01 17:39:43,1.0,1289.0,2019/03/01 17:39:45,1.0,1289.0,2019/03/01 17:39:49,1.0,1289.0,2019/03/01 17:39:53,1.0,1289.0,2019/03/01 17:39:56,1.0,1289.0,2019/03/01 17:40:00,1,1289
