ip_dst,time(t-10),traffic(t-10),data_len(t-10),time(t-9),traffic(t-9),data_len(t-9),time(t-8),traffic(t-8),data_len(t-8),time(t-7),traffic(t-7),data_len(t-7),time(t-6),traffic(t-6),data_len(t-6),time(t-5),traffic(t-5),data_len(t-5),time(t-4),traffic(t-4),data_len(t-4),time(t-3),traffic(t-3),data_len(t-3),time(t-2),traffic(t-2),data_len(t-2),time(t-1),traffic(t-1),data_len(t-1),time(t),traffic(t),data_len(t)
185.94.180.123,2019/02/28 22:58:47,4.0,1056.0,2019/02/28 22:58:48,2.0,2383.0,2019/02/28 22:58:49,1.0,1309.0,2019/02/28 22:58:59,2.0,2872.0,2019/02/28 22:59:00,2.0,2744.0,2019/02/28 22:59:02,3.0,4307.0,2019/02/28 22:59:03,1.0,1309.0,2019/02/28 22:59:04,1.0,1437.0,2019/02/28 22:59:06,2.0,2872.0,2019/02/28 22:59:07,1.0,1309.0,2019/02/28 22:59:08,1,1436
185.94.180.123,2019/02/28 22:58:48,2.0,2383.0,2019/02/28 22:58:49,1.0,1309.0,2019/02/28 22:58:59,2.0,2872.0,2019/02/28 22:59:00,2.0,2744.0,2019/02/28 22:59:02,3.0,4307.0,2019/02/28 22:59:03,1.0,1309.0,2019/02/28 22:59:04,1.0,1437.0,2019/02/28 22:59:06,2.0,2872.0,2019/02/28 22:59:07,1.0,1309.0,2019/02/28 22:59:08,1.0,1436.0,2019/02/28 22:59:11,1,1437
185.94.180.123,2019/02/28 22:58:49,1.0,1309.0,2019/02/28 22:58:59,2.0,2872.0,2019/02/28 22:59:00,2.0,2744.0,2019/02/28 22:59:02,3.0,4307.0,2019/02/28 22:59:03,1.0,1309.0,2019/02/28 22:59:04,1.0,1437.0,2019/02/28 22:59:06,2.0,2872.0,2019/02/28 22:59:07,1.0,1309.0,2019/02/28 22:59:08,1.0,1436.0,2019/02/28 22:59:11,1.0,1437.0,2019/02/28 22:59:14,13,17999
185.94.180.123,2019/02/28 22:58:59,2.0,2872.0,2019/02/28 22:59:00,2.0,2744.0,2019/02/28 22:59:02,3.0,4307.0,2019/02/28 22:59:03,1.0,1309.0,2019/02/28 22:59:04,1.0,1437.0,2019/02/28 22:59:06,2.0,2872.0,2019/02/28 22:59:07,1.0,1309.0,2019/02/28 22:59:08,1.0,1436.0,2019/02/28 22:59:11,1.0,1437.0,2019/02/28 22:59:14,13.0,17999.0,2019/02/28 22:59:17,2,1456
185.94.180.123,2019/02/28 22:59:00,2.0,2744.0,2019/02/28 22:59:02,3.0,4307.0,2019/02/28 22:59:03,1.0,1309.0,2019/02/28 22:59:04,1.0,1437.0,2019/02/28 22:59:06,2.0,2872.0,2019/02/28 22:59:07,1.0,1309.0,2019/02/28 22:59:08,1.0,1436.0,2019/02/28 22:59:11,1.0,1437.0,2019/02/28 22:59:14,13.0,17999.0,2019/02/28 22:59:17,2.0,1456.0,2019/02/28 22:59:18,1,1328
185.94.180.123,2019/02/28 22:59:02,3.0,4307.0,2019/02/28 22:59:03,1.0,1309.0,2019/02/28 22:59:04,1.0,1437.0,2019/02/28 22:59:06,2.0,2872.0,2019/02/28 22:59:07,1.0,1309.0,2019/02/28 22:59:08,1.0,1436.0,2019/02/28 22:59:11,1.0,1437.0,2019/02/28 22:59:14,13.0,17999.0,2019/02/28 22:59:17,2.0,1456.0,2019/02/28 22:59:18,1.0,1328.0,2019/02/28 22:59:41,5,4313
185.94.180.123,2019/02/28 22:59:03,1.0,1309.0,2019/02/28 22:59:04,1.0,1437.0,2019/02/28 22:59:06,2.0,2872.0,2019/02/28 22:59:07,1.0,1309.0,2019/02/28 22:59:08,1.0,1436.0,2019/02/28 22:59:11,1.0,1437.0,2019/02/28 22:59:14,13.0,17999.0,2019/02/28 22:59:17,2.0,1456.0,2019/02/28 22:59:18,1.0,1328.0,2019/02/28 22:59:41,5.0,4313.0,2019/02/28 22:59:46,3,3640
185.94.180.123,2019/02/28 22:59:04,1.0,1437.0,2019/02/28 22:59:06,2.0,2872.0,2019/02/28 22:59:07,1.0,1309.0,2019/02/28 22:59:08,1.0,1436.0,2019/02/28 22:59:11,1.0,1437.0,2019/02/28 22:59:14,13.0,17999.0,2019/02/28 22:59:17,2.0,1456.0,2019/02/28 22:59:18,1.0,1328.0,2019/02/28 22:59:41,5.0,4313.0,2019/02/28 22:59:46,3.0,3640.0,2019/02/28 22:59:49,13,16971
185.94.180.123,2019/02/28 22:59:06,2.0,2872.0,2019/02/28 22:59:07,1.0,1309.0,2019/02/28 22:59:08,1.0,1436.0,2019/02/28 22:59:11,1.0,1437.0,2019/02/28 22:59:14,13.0,17999.0,2019/02/28 22:59:17,2.0,1456.0,2019/02/28 22:59:18,1.0,1328.0,2019/02/28 22:59:41,5.0,4313.0,2019/02/28 22:59:46,3.0,3640.0,2019/02/28 22:59:49,13.0,16971.0,2019/02/28 22:59:50,1,1239
185.94.180.123,2019/02/28 22:59:07,1.0,1309.0,2019/02/28 22:59:08,1.0,1436.0,2019/02/28 22:59:11,1.0,1437.0,2019/02/28 22:59:14,13.0,17999.0,2019/02/28 22:59:17,2.0,1456.0,2019/02/28 22:59:18,1.0,1328.0,2019/02/28 22:59:41,5.0,4313.0,2019/02/28 22:59:46,3.0,3640.0,2019/02/28 22:59:49,13.0,16971.0,2019/02/28 22:59:50,1.0,1239.0,2019/02/28 22:59:51,3,3719
